Minggu;Tanggal;Hari;Fase;Aktivitas;Detail Pekerjaan
9;27-Nov-25;Kamis;PENGEMBANGAN;Modul Vehicle - Validasi Ketersediaan;Mengimplementasikan pengecekan ketersediaan kendaraan untuk mencegah bentrok jadwal peminjaman. Menampilkan pesan error jika terjadi konflik.
9;28-Nov-25;Jumat;PENGEMBANGAN;Modul Vehicle - Calendar View;Membuat tampilan kalender untuk visualisasi jadwal peminjaman kendaraan. Memudahkan admin melihat ketersediaan secara keseluruhan.
10;01-Des-25;Senin;PENGEMBANGAN;Modul Vehicle - Tracking;Mengembangkan fitur pencatatan odometer dan kondisi BBM saat pengambilan dan pengembalian kendaraan.
10;02-Des-25;Selasa;PENGEMBANGAN;Modul Vehicle - Approval Workflow;Mengimplementasikan alur persetujuan peminjaman kendaraan. Admin dapat menyetujui atau menolak permintaan dengan catatan.
10;03-Des-25;Rabu;PENGEMBANGAN;Modul Vehicle - Notifikasi;Menambahkan notifikasi untuk memberitahu pemohon saat booking disetujui/ditolak dan reminder pengembalian kendaraan.
10;04-Des-25;Kamis;PENGEMBANGAN;Modul Vehicle - Testing;Melakukan pengujian menyeluruh terhadap modul peminjaman kendaraan. Menguji skenario booking dan validasi konflik.
10;05-Des-25;Jumat;PENGEMBANGAN;Review Modul Vehicle;Mempresentasikan progress modul vehicle booking kepada mentor. Menerima feedback untuk penyempurnaan fitur.
11;08-Des-25;Senin;PENGEMBANGAN;Modul Knowledge Base - Model;Membuat model untuk artikel knowledge base dengan atribut judul, konten, kategori, dan status publikasi.
11;09-Des-25;Selasa;PENGEMBANGAN;Modul KB - CRUD Artikel;Mengembangkan antarmuka untuk pengelolaan artikel. Mengimplementasikan rich text editor untuk penulisan konten.
11;10-Des-25;Rabu;PENGEMBANGAN;Modul KB - Kategori & Media;Membuat fitur kategorisasi artikel dan upload gambar pendukung. Mengimplementasikan thumbnail otomatis.
11;11-Des-25;Kamis;PENGEMBANGAN;Modul KB - Publikasi;Mengimplementasikan workflow status artikel: Draft, Published, Archived. Menambahkan fitur penjadwalan publikasi.
11;12-Des-25;Jumat;PENGEMBANGAN;Modul KB - Tampilan Publik;Membuat halaman publik untuk menampilkan artikel yang telah dipublikasikan. Mengimplementasikan URL SEO-friendly.
12;15-Des-25;Senin;PENGEMBANGAN;Modul KB - Pencarian;Mengimplementasikan fitur pencarian artikel berdasarkan judul dan konten. Menambahkan filter berdasarkan kategori.
12;16-Des-25;Selasa;PENGEMBANGAN;Modul KB - Testing;Melakukan pengujian menyeluruh terhadap modul knowledge base. Memastikan semua fitur berfungsi dengan baik.
12;17-Des-25;Rabu;PENGEMBANGAN;Modul KB - Bug Fixing;Memperbaiki bug yang ditemukan selama pengujian. Melakukan optimasi tampilan dan performa.
12;18-Des-25;Kamis;PENGEMBANGAN;Review Modul KB;Mempresentasikan progress modul knowledge base kepada mentor. Mendiskusikan improvement yang diperlukan.
12;19-Des-25;Jumat;PENGEMBANGAN;Integrasi Dashboard;Mengembangkan halaman dashboard utama yang menampilkan ringkasan dari semua modul: statistik aset, tiket, dan booking.
13;22-Des-25;Senin;PENGEMBANGAN;Testing Integrasi;Melakukan pengujian integrasi antar modul untuk memastikan data dan navigasi berjalan dengan baik.
13;23-Des-25;Selasa;PENGEMBANGAN;Optimasi Performa;Melakukan review dan optimasi query database. Menambahkan indexing pada kolom yang sering digunakan untuk pencarian.
13;24-Des-25;Rabu;LIBUR;Libur Natal;Cuti bersama dalam rangka Hari Raya Natal.
13;25-Des-25;Kamis;LIBUR;Libur Natal;Hari libur nasional Hari Raya Natal.
13;26-Des-25;Jumat;PENGEMBANGAN;Testing Import/Export;Melakukan pengujian fitur import dan export data untuk modul aset dan pengguna. Memvalidasi format file dan akurasi data.
14;29-Des-25;Senin;PENGEMBANGAN;Perbaikan Bug;Melakukan identifikasi dan perbaikan bug yang ditemukan selama pengujian integrasi dan import/export.
14;30-Des-25;Selasa;PENGEMBANGAN;Code Review;Melakukan review kode bersama mentor untuk memastikan kualitas dan konsistensi penulisan kode sesuai standar.
14;31-Des-25;Rabu;LIBUR;Libur Tahun Baru;Cuti bersama dalam rangka Tahun Baru.
14;01-Jan-26;Kamis;LIBUR;Libur Tahun Baru;Hari libur nasional Tahun Baru 2026.
14;02-Jan-26;Jumat;PENGEMBANGAN;Finalisasi Pengembangan;Menyelesaikan perbaikan terakhir dari hasil code review. Mempersiapkan aplikasi untuk tahap testing lanjutan.
15;05-Jan-26;Senin;TESTING;Persiapan Testing;Menyusun test plan dan test case untuk seluruh modul. Menyiapkan data dummy untuk keperluan pengujian.
15;06-Jan-26;Selasa;TESTING;Testing Modul User & Auth;Melakukan pengujian fungsional pada modul autentikasi dan manajemen pengguna sesuai test case yang telah disusun.
15;07-Jan-26;Rabu;TESTING;Testing Modul Asset;Melakukan pengujian fungsional pada modul manajemen aset IT termasuk fitur CRUD, assignment, dan import/export.
15;08-Jan-26;Kamis;TESTING;Testing Modul Ticketing;Melakukan pengujian fungsional pada modul ticketing termasuk workflow status dan sistem notifikasi.
15;09-Jan-26;Jumat;TESTING;Testing Modul Vehicle & KB;Melakukan pengujian fungsional pada modul vehicle booking dan knowledge base.
16;12-Jan-26;Senin;TESTING;Testing End-to-End;Melakukan pengujian alur lengkap dari perspektif pengguna akhir untuk memastikan sistem berjalan sesuai skenario penggunaan.
16;13-Jan-26;Selasa;TESTING;Bug Fixing Prioritas Tinggi;Memperbaiki bug dengan prioritas tinggi yang ditemukan selama pengujian. Memfokuskan pada bug yang mempengaruhi fungsi utama.
16;14-Jan-26;Rabu;TESTING;Bug Fixing Lanjutan;Melanjutkan perbaikan bug dengan prioritas menengah dan rendah. Melakukan regression testing untuk memastikan perbaikan tidak menimbulkan bug baru.
16;15-Jan-26;Kamis;TESTING;Testing Keamanan;Melakukan pengujian keamanan dasar meliputi validasi input, proteksi CSRF, dan pengecekan hak akses antar role.
16;16-Jan-26;Jumat;TESTING;Finalisasi Testing;Memastikan semua bug kritis telah diperbaiki. Menyusun laporan hasil pengujian dan daftar known issues.
17;19-Jan-26;Senin;IMPLEMENTASI;Persiapan Server;Melakukan konfigurasi server untuk deployment aplikasi. Menyiapkan database production dan pengaturan keamanan server.
17;20-Jan-26;Selasa;IMPLEMENTASI;Deployment Aplikasi;Melakukan deployment aplikasi ke server intranet kantor. Menjalankan migrasi database dan konfigurasi environment production.
17;21-Jan-26;Rabu;IMPLEMENTASI;User Acceptance Testing;Melakukan UAT bersama perwakilan pengguna akhir untuk memvalidasi bahwa sistem memenuhi kebutuhan yang telah didefinisikan.
17;22-Jan-26;Kamis;IMPLEMENTASI;Perbaikan Hasil UAT;Melakukan perbaikan berdasarkan feedback yang diterima selama UAT. Memastikan aplikasi siap untuk digunakan.
17;23-Jan-26;Jumat;IMPLEMENTASI;Persiapan Pelatihan;Menyusun materi pelatihan untuk pengguna meliputi panduan penggunaan dan tips troubleshooting dasar.
18;26-Jan-26;Senin;DOKUMENTASI;Panduan Pengguna;Menyusun dokumen panduan penggunaan sistem untuk pegawai yang berisi langkah-langkah penggunaan setiap fitur.
18;27-Jan-26;Selasa;DOKUMENTASI;Panduan Administrator;Menyusun dokumen panduan untuk administrator sistem yang berisi pengelolaan master data dan troubleshooting.
18;28-Jan-26;Rabu;DOKUMENTASI;Dokumentasi Teknis;Menyusun dokumentasi teknis meliputi arsitektur sistem, struktur database, dan panduan maintenance.
18;29-Jan-26;Kamis;DOKUMENTASI;Laporan Akhir;Menyusun laporan akhir kegiatan magang yang berisi ringkasan pekerjaan, hasil yang dicapai, dan saran pengembangan.
18;30-Jan-26;Jumat;DOKUMENTASI;Presentasi & Serah Terima;Melakukan presentasi hasil kerja kepada pembimbing dan tim. Menyerahkan seluruh dokumentasi dan source code.
